"","name","pf1","pf2","pf3"
"1","(Intercept)",-5.47033761312095,34.0265324771828,26.6236095665942
"2","sentiment_prob_pos",0.137450317382087,0.134588825181826,0.16248767744756
"3","sentiment_prob_neg",-0.0357588142268848,-0.0803694838556255,-0.0764926405901024
"4","lexdiv_cttr",0.548156939762025,0.487259960724835,0.367044752537086
"5","num_punct",-0.048163487547293,-0.0832032884775755,0.104999056976169
"6","num_sentences",0.083357315503534,0.0152258674038256,-0.000476069163346827
"7","SMOG_readability",0.133732515637821,0.0934856091139958,0.0423941745416422
"8","second_personTRUE",0.217438679842304,0.191789251294191,0.108491787810251
"9","user_follower",0.10267927137768,0.123372080041395,0.0530160747419253
"10","cosine_1",-0.021127347255706,-0.00524414199876147,-0.0294489964673366
"11","hours_since_article",-1.1905708314729,-1.31502821798352,-0.182097673420352
"12","votes_pos_mean",0.200885931799568,0.33713360773088,-0.520466235623986
"13","votes_neg_mean",0.0694869154938988,-0.253509315264969,-0.351741302150341
"14","article_comments",-0.103838324547598,-0.089080487184737,-0.714666514528192
"15","factor(genre1)/diestandard",0.832487470325595,0.15166320354566,-0.0336058405698136
"16","factor(genre1)/diskurs",0.147782522815373,0.183489955096933,0.00585045683050721
"17","factor(genre1)/etat",0.229725646535813,0.149048454924078,0.1604366902528
"18","factor(genre1)/international",0.195475608071665,-0.289491545161501,0.0730669030154271
"19","factor(genre1)/kultur",0.495872735646217,0.486494663060607,0.399540188617427
"20","factor(genre1)/lifestyle",0.843797521075868,0.490633480180773,0.488232886687799
"21","factor(genre1)/panorama",0.347694824104202,-0.0553967415735826,0.0339823867770004
"22","factor(genre1)/podcast",0.446648474863455,0.0458339518094416,0.760237283718842
"23","factor(genre1)/recht",0.240639895495071,0.0445131003300526,0.0487458163535591
"24","factor(genre1)/sport",0.545943531529167,0.278502602866113,0.329181655305926
"25","factor(genre1)/video",0.670631112021411,0.356268997923332,0.0836581049486046
"26","factor(genre1)/web",0.624644438249058,0.494517376187537,0.395679818045904
"27","factor(genre1)/wirtschaft",0.175940587800265,0.0055198785826839,0.033437192525787
"28","factor(genre1)/wissenschaft",1.31624697113383,0.661600880270979,1.21255042157522
"29","is_leaf_commentTRUE",NA,-10.1841403394883,-8.19077304792213
"30","size_of_tree",NA,31.9754060103157,28.7105968743675
"31","height_of_tree",NA,-2.40625149330329,-1.42661536080839
"32","all_replies",NA,-14.8595799862179,-13.993223693717
"33","votes_neg_log",NA,NA,0.462186410796967
"34","votes_pos_log",NA,NA,2.67153706448891
