"","term","estimate","std.error","statistic","p.value"
"1","(Intercept)",-5.47033761312095,0.0422363239937922,-129.517370259897,0
"2","sentiment_prob_pos",0.137450317382087,0.0116801947992805,11.7678103613951,5.71896680361253e-32
"3","sentiment_prob_neg",-0.0357588142268848,0.0144914939875619,-2.46757265038214,0.0136032613968617
"4","lexdiv_cttr",0.548156939762025,0.0289149452391436,18.957564513038,3.82448384663396e-80
"5","num_punct",-0.048163487547293,0.0233673311553756,-2.06114627413123,0.0392890872889159
"6","num_sentences",0.083357315503534,0.0166545415827254,5.00508015123004,5.58387919297635e-07
"7","SMOG_readability",0.133732515637821,0.0208626931978331,6.41012712834751,1.45398342827966e-10
"8","second_personTRUE",0.217438679842304,0.0605917713146685,3.58858430979165,0.000332478476960364
"9","user_follower",0.10267927137768,0.013105859967412,7.83460769709077,4.70308805753797e-15
"10","cosine_1",-0.021127347255706,0.0109851496157793,-1.92326440646364,0.0544468522616974
"11","hours_since_article",-1.1905708314729,0.0233306153904441,-51.0304083946512,0
"12","votes_pos_mean",0.200885931799568,0.0148248566329398,13.550615481381,7.85685813442422e-42
"13","votes_neg_mean",0.0694869154938988,0.0157696190975062,4.40637881386034,1.05113071989363e-05
"14","article_comments",-0.103838324547598,0.0146796101271874,-7.0736432131317,1.50918014580689e-12
"15","factor(genre1)/diestandard",0.832487470325595,0.0991307858848787,8.39787017619702,4.54649442754281e-17
"16","factor(genre1)/diskurs",0.147782522815373,0.0565645324443541,2.61263580602838,0.00898469882023748
"17","factor(genre1)/etat",0.229725646535813,0.0685945540331881,3.34903622851261,0.000810931913578121
"18","factor(genre1)/international",0.195475608071665,0.0507864642120163,3.84897060869646,0.00011861523696957
"19","factor(genre1)/kultur",0.495872735646217,0.0761609732148234,6.51085082969638,7.47263236713448e-11
"20","factor(genre1)/lifestyle",0.843797521075868,0.0651243471586688,12.9567137006386,2.15274243054925e-38
"21","factor(genre1)/panorama",0.347694824104202,0.0537006240683037,6.47468870495725,9.50076076269142e-11
"22","factor(genre1)/podcast",0.446648474863455,0.164936690622986,2.70799949469345,0.00676901254708124
"23","factor(genre1)/recht",0.240639895495071,0.186869442343438,1.28774342384354,0.197835292291136
"24","factor(genre1)/sport",0.545943531529167,0.0623049652646989,8.7624401877083,1.91068497841243e-18
"25","factor(genre1)/video",0.670631112021411,0.116478589499296,5.75754836064067,8.534432370112e-09
"26","factor(genre1)/web",0.624644438249058,0.063938816717236,9.76940879296367,1.52338412412251e-22
"27","factor(genre1)/wirtschaft",0.175940587800265,0.0534384737499611,3.29239544945636,0.000993378248464332
"28","factor(genre1)/wissenschaft",1.31624697113383,0.067938958126247,19.3739646211224,1.28010486441978e-83
